Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1615587040104,2.5,3.9,"23 km WSW of McKinley Park, Alaska",63.6894,-149.3758,earthquake,reviewed,0,,96,,ak
1615560793939,2.5,17.5,"34 km W of Clear, Alaska, Alaska",64.2779,-149.8965,earthquake,reviewed,0,,96,,ak
1615553598898,3.1,76.6,"27 km NW of Nikiski, Alaska",60.852,-151.6719,earthquake,reviewed,0,,149,,ak
1615548394930,2.7,43.5,"12 km NNE of Houston, Alaska",61.7368,-149.7638,earthquake,reviewed,0,,112,,ak
1615515068959,2.8,69.7,"31 km W of Anchor Point, Alaska",59.7324,-152.3832,earthquake,reviewed,0,,121,,ak
1615505858364,2.5,0.9,"47 km NNE of McGrath, Alaska",63.3597,-155.2963,earthquake,reviewed,0,,96,,ak
1615473999989,2.6,163.9,"50 km E of King Salmon, Alaska",58.7169,-155.7927,earthquake,reviewed,0,,104,,ak
1615324997072,2.9,76.0,"29 km SSW of Petersville, Alaska",62.2451,-150.9708,earthquake,reviewed,0,,129,,ak
1615323359176,2.7,17.6,"46 km SSW of Tanana, Alaska",64.7713,-152.3844,earthquake,reviewed,0,,112,,ak
1615235543812,3.1,91.2,"50 km WNW of Happy Valley, Alaska",60.0964,-152.5857,earthquake,reviewed,0,,148,,ak
1615208429774,3.3,72.5,"26 km SSW of Petersville, Alaska",62.2784,-150.9693,earthquake,reviewed,0,,168,,ak
1615207329172,2.6,56.3,"23 km E of Chase, Alaska",62.4888,-149.6496,earthquake,reviewed,0,,104,,ak
1615179622261,2.9,70.7,"38 km NNE of Karluk, Alaska",57.8955,-154.2356,earthquake,reviewed,0,,129,,ak
1615161400805,3.6,22.0,"54 km S of Chenega, Alaska",59.5831,-147.8969,earthquake,reviewed,0,,201,,ak
1615149994676,2.7,12.4,"31 km SSW of Tatitlek, Alaska",60.63,-146.875,earthquake,reviewed,0,,112,,ak
1615114893462,3.0,73.3,"29 km WSW of Nanwalek, Alaska",59.2093,-152.359,earthquake,reviewed,0,,138,,ak
1615106556837,3.2,40.0,"5 km SSW of Point MacKenzie, Alaska",61.32,-150.0336,earthquake,reviewed,0,,197,,ak
1615082877283,3.0,21.2,"51 km N of Valdez, Alaska",61.5883,-146.308,earthquake,reviewed,0,,138,,ak
1615037687285,2.5,94.2,"48 km WNW of Happy Valley, Alaska",60.0698,-152.5742,earthquake,reviewed,0,,96,,ak
1615034435244,2.8,96.4,"83 km E of Ugashik, Alaska",57.5464,-156.0099,earthquake,reviewed,0,,121,,ak
1615021212717,3.5,123.7,"60 km ENE of Pedro Bay, Alaska",60.0528,-153.1719,earthquake,reviewed,0,,188,,ak
1615004434923,2.6,2.6,"31 km ESE of Lowell Point, Alaska",59.9823,-148.9013,earthquake,reviewed,0,,104,,ak
1614982525988,2.6,83.4,"67 km W of Nanwalek, Alaska",59.3137,-153.1089,earthquake,reviewed,0,,104,,ak
1614980715357,2.8,8.2,"21 km NE of Healy, Alaska",63.9808,-148.6282,earthquake,reviewed,0,,121,,ak
1614922037987,2.6,121.0,"68 km ENE of Pedro Bay, Alaska",60.0425,-153.0015,earthquake,reviewed,0,,104,,ak
1614921835934,2.8,153.6,"57 km E of Port Alsworth, Alaska",60.1822,-153.2865,earthquake,reviewed,0,,121,,ak
1614854891601,4.3,54.7,"72 km SSW of Nanwalek, Alaska",58.7824,-152.5239,earthquake,reviewed,1,green,286,,ak
1614852293905,2.8,144.1,"21 km WSW of Point MacKenzie, Alaska",61.2561,-150.306,earthquake,automatic,0,,121,,ak
1614852234179,2.8,135.5,"40 km ENE of Ugashik, Alaska",57.69,-156.8131,earthquake,reviewed,0,,121,,ak
1614783906093,2.9,17.8,"35 km NNW of Valdez, Alaska",61.4424,-146.4908,earthquake,reviewed,0,,129,,ak
1614757155576,3.4,4.5,"30 km NW of Valdez, Alaska",61.3219,-146.7563,earthquake,reviewed,0,,178,,ak
1614749725980,4.5,99.0,"57 km NW of Beluga, Alaska",61.4532,-151.9291,earthquake,reviewed,1,green,370,,ak
1614716567877,2.7,53.7,"4 km NW of Meadow Lakes, Alaska",61.6512,-149.6585,earthquake,reviewed,0,,114,,ak
1614690762045,2.8,110.2,"60 km N of Petersville, Alaska",63.0392,-150.6206,earthquake,reviewed,0,,121,,ak
1614658885161,2.5,22.1,"16 km NNW of Four Mile Road, Alaska",64.7362,-149.2606,earthquake,reviewed,0,,96,,ak
1614617563913,3.3,103.7,"54 km WNW of Ninilchik, Alaska",60.207,-152.5894,earthquake,reviewed,0,,168,,ak
1614534876216,3.8,10.7,"30 km S of Nelchina, Alaska",61.7196,-146.7012,earthquake,reviewed,0,green,230,,ak
1614483369690,2.6,20.0,"18 km ESE of Elmendorf Air Force Base, Alaska",61.2143,-149.2947,earthquake,reviewed,0,,106,,ak
1614469661259,2.6,105.9,"53 km E of Pedro Bay, Alaska",59.7288,-153.1635,earthquake,reviewed,0,,104,,ak
1614452365296,5.3,46.0,"5 km SSE of Point MacKenzie, Alaska",61.319,-149.9334,earthquake,reviewed,1,green,1142,,ak
1614452365296,5.3,46.0,"5 km SSE of Point MacKenzie, Alaska",61.319,-149.9334,earthquake,reviewed,0,,432,,ak
1614442679519,2.8,14.2,"23 km E of Manley Hot Springs, Alaska",64.9883,-150.1392,earthquake,reviewed,0,,121,,ak
1614394849620,3.6,94.8,"55 km W of Happy Valley, Alaska",60.012,-152.7128,earthquake,reviewed,0,,199,,ak
1614363907144,2.5,1.5,"21 km ENE of Fox River, Alaska",59.9615,-150.6294,earthquake,reviewed,0,,96,,ak
1614342187483,2.8,11.4,"46 km SSE of Denali National Park, Alaska",63.1319,-151.5013,earthquake,reviewed,0,,121,,ak
1614332904482,2.9,12.4,"12 km N of Pleasant Valley, Alaska",64.9976,-146.8784,earthquake,reviewed,0,,130,,ak
1614330717844,2.6,127.3,"81 km ESE of Egegik, Alaska",57.8614,-156.1757,earthquake,reviewed,0,,104,,ak
1614318144911,2.5,74.7,"2 km NNE of Petersville, Alaska",62.5144,-150.7492,earthquake,reviewed,0,,96,,ak
1614245531621,2.6,127.1,"41 km ENE of Pedro Bay, Alaska",59.8654,-153.374,earthquake,reviewed,0,,104,,ak
1614232491380,2.8,33.5,"16 km S of Whittier, Alaska",60.6257,-148.7424,earthquake,reviewed,0,,121,,ak
1614225544118,2.6,60.7,"10 km SW of Anchor Point, Alaska",59.7027,-151.9461,earthquake,reviewed,0,,104,,ak
1614216524754,3.1,9.9,"142 km ESE of Chiniak, Alaska",57.157,-150.0704,earthquake,reviewed,0,,148,,ak
